flux,id,x,y,z
2.2724240663877e+14,0,-52.1703,0,0
2.2914654176835e+14,1,-50.0409,0,0
2.3095050571784e+14,2,-47.9115,0,0
2.3265955076394e+14,3,-45.7821,0,0
2.3428529687215e+14,4,-43.6527,0,0
2.3582763646684e+14,5,-41.5233,0,0
2.3728072978084e+14,6,-39.3939,0,0
2.386505027971e+14,7,-37.2645,0,0
2.3993739192058e+14,8,-35.1351,0,0
2.4114021489669e+14,9,-33.0057,0,0
2.4226146723144e+14,10,-30.8763,0,0
2.4330291091467e+14,11,-28.7469,0,0
2.4426356699318e+14,12,-26.6175,0,0
2.451547492894e+14,13,-24.4881,0,0
2.4596669118832e+14,14,-22.3587,0,0
2.4669901040423e+14,15,-20.2293,0,0
2.4735686055497e+14,16,-18.0999,0,0
2.4794011251939e+14,17,-15.9705,0,0
2.4845107786356e+14,18,-13.8411,0,0
2.4888860364847e+14,19,-11.7117,0,0
2.4925524966414e+14,20,-9.5823,0,0
2.495462835204e+14,21,-7.4529,0,0
2.4976050505928e+14,22,-5.3235,0,0
2.4990208696731e+14,23,-3.1941,0,0
2.4997541469481e+14,24,-1.0647,0,0
2.499706409279e+14,25,1.0647,0,0
2.4988908401247e+14,26,3.1941,0,0
2.4974660240326e+14,27,5.3235,0,0
2.4953166811173e+14,28,7.4529,0,0
2.4924127695345e+14,29,9.5823,0,0
2.4887541145732e+14,30,11.7117,0,0
2.4843330460275e+14,31,13.8411,0,0
2.4792247163634e+14,32,15.9705,0,0
2.4733573479996e+14,33,18.0999,0,0
2.4667589093242e+14,34,20.2293,0,0
2.4594037906636e+14,35,22.3587,0,0
2.4513183751423e+14,36,24.4881,0,0
2.4424726191201e+14,37,26.6175,0,0
2.4328004376877e+14,38,28.7469,0,0
2.4224041653669e+14,39,30.8763,0,0
2.4111622372152e+14,40,33.0057,0,0
2.399117579782e+14,41,35.1351,0,0
2.3862641019941e+14,42,37.2645,0,0
2.3725607997298e+14,43,39.3939,0,0
2.3579644800423e+14,44,41.5233,0,0
2.3425410345811e+14,45,43.6527,0,0
2.3262799322633e+14,46,45.7821,0,0
2.3091120938222e+14,47,47.9115,0,0
2.2909866626983e+14,48,50.0409,0,0
2.2719311669523e+14,49,52.1703,0,0
